workingTag,.io.name,.io.p&id,.io.desc,.io.pLbl,.gsHi,.configDis,.notPres,.almDlySp,.almShtdnEn,.almEn,.io.rawMin,.io.rawMax,.io.scldMin,.io.scldMax,.io.unit
SCME_WRK;IO;ZS10_00,ZS 10.00,ZS 10.00,Vessel Access Door 1 Interlock,ZS 10.00,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;ZS10_01,ZS 10.01,ZS 10.01,Plumbing Access Door Interlock,ZS 10.01,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;ZS10_02,ZS 10.02,ZS 10.02,Vessel Access Door 2 Interlock,ZS 10.02,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;PS01_07,PS 01.07,PS 01.07,Vessel 11.00 Connection Verify,PS 01.07,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
SCME_WRK;IO;PS01_08,PS 01.08,PS 01.08,Vessel 12.00 Connection Verify,PS 01.08,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
SCME_WRK;IO;PS01_09,PS 01.09,PS 01.09,Vessel 13.00 Connection Verify,PS 01.09,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
SCME_WRK;IO;PS01_10,PS 01.10,PS 01.10,Vessel 14.00 Connection Verify,PS 01.10,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
SCME_WRK;IO;PS11_00,PS 11.00,PS 11.00,Cabinet Exhaust Fault 2,PS 11.00,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;PS10_00,PS 10.00,PS 10.00,Indirect Vent Exhaust Fault,PS 10.00,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;LS10_04,LS 10.04,LS 10.04,Upper Containment Leak Detect,LS 10.04,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;DIM03_10,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;DIM03_11,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;DIM03_12,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;DIM03_13,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;DIM03_14,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;DIM03_15,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;LS11_00,LS 11.00,LS 11.00,Vessel 11.00 Low Low,LS 11.00,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
SCME_WRK;IO;LS11_05,LS 11.05,LS 11.05,Vessel 11.00 Overfill,LS 11.05,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;LS12_00,LS 12.00,LS 12.00,Vessel 12.00 Low Low,LS 12.00,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
SCME_WRK;IO;LS12_05,LS 12.05,LS 12.05,Vessel 12.00 Overfill,LS 12.05,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;LS13_00,LS 13.00,LS 13.00,Vessel 13.00 Low Low,LS 13.00,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
SCME_WRK;IO;LS13_05,LS 13.05,LS 13.05,Vessel 13.00 Overfill,LS 13.05,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;LS14_00,LS 14.00,LS 14.00,Vessel 14.00 Low Low,LS 14.00,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
SCME_WRK;IO;LS14_05,LS 14.05,LS 14.05,Vessel 14.00 Overfill,LS 14.05,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
SCME_WRK;IO;ZS11_00,ZS 11.00,ZS 11.00,Vessel 11.00 Start PB,ZS 11.00,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;ZS12_00,ZS 12.00,ZS 12.00,Vessel 12.00 Start PB,ZS 12.00,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;ZS13_00,ZS 13.00,ZS 13.00,Vessel 13.00 Start PB,ZS 13.00,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;ZS14_00,ZS 14.00,ZS 14.00,Vessel 14.00 Start PB,ZS 14.00,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;DIM04_12,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;DIM04_13,,,SPARE,,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;RDYCCB,RDY CCB,RDY CCB,CCB Ready,RDY CCB,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
SCME_WRK;IO;VSL_APR,VSL_APR,VSL_APR,Vessel Approval (From Customer),VSL_APR,TRUE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;YI00_00,YI 00.00,YI 00.00,System Audible Alert,YI 00.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;YL00_02,YL 00.02,YL 00.02,System OK,YL 00.02,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;YL00_01,YL 00.01,YL 00.01,System Maintenance,YL 00.01,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;YL00_00,YL 00.00,YL 00.00,System Shutdown,YL 00.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;XL00_00,XL 00.00,XL 00.00,Control Cabinet Light,XL 00.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;XL10_00,XL 10.00,XL 10.00,Cabinet Light,XL 10.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;OUT_R4,OUT_R 4,OUT_R 4,EMO Reset,OUT_R 4,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;YL11_00,YL 11.00,YL 11.00,Vessel 11.00 Start PB Light,YL 11.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;YL12_00,YL 12.00,YL 12.00,Vessel 12.00 Start PB Light,YL 12.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;YL13_00,YL 13.00,YL 13.00,Vessel 13.00 Start PB Light,YL 13.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;YL14_00,YL 14.00,YL 14.00,Vessel 14.00 Start PB Light,YL 14.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;DOM05_11,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;DOM05_12,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;DOM05_13,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;DOM05_14,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;DOM05_15,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;PIT01_00,PIT 01.00,PIT 01.00,GN2 Pressure,PIT 01.00,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,145,PSI
SCME_WRK;IO;PT01_04,PT 01.04,PT 01.04,Vessel Vent Pressure,PT 01.04,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,200,PSI
SCME_WRK;IO;PT01_01,PT 01.01,PT 01.01,Vessel Connection Verification Pressure,PT 01.01,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,200,PSI
SCME_WRK;IO;AIM06_03,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;TT00_00,TT 00.00,TT 00.00,Control Cabinet Temperature,TT 00.00,FALSE,FALSE,FALSE,,FALSE,FALSE,-24300,32511,0,60,C
SCME_WRK;IO;TT10_00,TT 10.00,TT 10.00,Cabinet Temperature,TT 10.00,FALSE,FALSE,FALSE,,FALSE,FALSE,-24300,32511,0,60,C
SCME_WRK;IO;AIM06_06,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;PIT00_00,PIT 00.00,PIT 00.00,Cabinet Exhaust Pressure,PIT 00.00,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,145,PSI
SCME_WRK;IO;FVY11_00,FVY 11.00,FVY 11.00,Vessel 11.00 Outlet,FVY 11.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;FVY11_01,FVY 11.01,FVY 11.01,Vessel 11.00 Inlet,FVY 11.01,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;FVY12_00,FVY 12.00,FVY 12.00,Vessel 12.00 Outlet,FVY 12.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;FVY12_01,FVY 12.01,FVY 12.01,Vessel 12.00 Inlet,FVY 12.01,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;FVY13_00,FVY 13.00,FVY 13.00,Vessel 13.00 Outlet,FVY 13.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;FVY13_01,FVY 13.01,FVY 13.01,Vessel 13.00 Inlet,FVY 13.01,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;FVY14_00,FVY 14.00,FVY 14.00,Vessel 14.00 Outlet,FVY 14.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;FVY14_01,FVY 14.01,FVY 14.01,Vessel 14.00 Inlet,FVY 14.01,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
SCME_WRK;IO;SOL07_08,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;SOL07_09,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;SOL07_10,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;SOL07_11,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;SOL07_12,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;SOL07_13,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;SOL07_14,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
SCME_WRK;IO;SOL07_15,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
