workingTag,.io.name,.io.p&id,.io.desc,.io.pLbl,.gsHi,.configDis,.notPres,.almDlySp,.almShtdnEn,.almEn,.io.rawMin,.io.rawMax,.io.scldMin,.io.scldMax,.io.unit
ENG02_WRK;IO;P22_01_ERR,P 22_01_ERR,P 22_01_ERR,Pump 22.01 Error,P 22_01_ERR,TRUE,FALSE,TRUE,1,FALSE,TRUE,,,,,
ENG02_WRK;IO;P22_01_WRN,P 22_01_WRN,P 22_01_WRN,Pump 22.01 Warning,P 22_01_WRN,TRUE,FALSE,TRUE,1,FALSE,TRUE,,,,,
ENG02_WRK;IO;P22_01_GRT70,P 22_01_GRT70,P 22_01_GRT70,Pump 22.01 Temperature  >70,P 22_01_GRT70,FALSE,FALSE,TRUE,1,TRUE,TRUE,,,,,
ENG02_WRK;IO;P22_00_ENB,P 22_00_ENB,P 22_00_ENB,Pump 22.00 Enable,P 22_00_ENB,FALSE,FALSE,TRUE,1,FALSE,FALSE,,,,,
ENG02_WRK;IO;P22_00_RST,P 22_00_RST,P 22_00_RST,Pump 22.00 Reset,P 22_00_RST,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;P22_01_ENB,P 22_01_ENB,P 22_01_ENB,Pump 22.01 Enable,P 22_01_ENB,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;P22_01_RST,P 22_01_RST,P 22_01_RST,Pump 22.01 Reset,P 22_01_RST,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;XL22_00,XL 22.00,XL 22.00,Eng 2 Cabinet Light,XL 22.00,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;FN22_00,FN 22.00,FN 22.00,Pump 22.00 Cooling Fan FN22.00,FN 22.00,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;FN22_01,FN 22.01,FN 22.01,Pump 22.01 Cooling Fan FN22.01,FN 22.01,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;DOM03_07,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;DOM03_08,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;DOM03_09,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;DOM03_10,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;DOM03_11,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;DOM03_12,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;DOM03_13,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;DOM03_14,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;DOM03_15,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;PT22_00,PT 22.00,PT 22.00,Pre-Filter Pressure,PT 22.00,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,100,PSI
ENG02_WRK;IO;PT22_01,PT 22.01,PT 22.01,Chem Outlet Pressure (Post Filter),PT 22.01,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,100,PSI
ENG02_WRK;IO;FIT22_00,FIT 22.00,FIT 22.00,Eng 2 Supply Flow,FIT 22.00,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,200,L/m
ENG02_WRK;IO;FIT22_01,FIT 22.01,FIT 22.01,Eng 2 Return to Tank Flow,FIT 22.01,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,200,L/m
ENG02_WRK;IO;PIT06_00,PIT 06.00,PIT 06.00,Control Gas Pressure 4,PIT 06.00,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,145,PSI
ENG02_WRK;IO;TT22_02,TT 22.02,TT 22.02,Eng 2 Cabinet Temperature,TT 22.02,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,,,
ENG02_WRK;IO;PIT06_01,PIT 06.01,PIT 06.01,Pump 22.00 Low Speed CDA Supply Pressure,PIT 06.01,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,145.038,PSI
ENG02_WRK;IO;PIT06_02,PIT 06.02,PIT 06.02,Pump 22.00 CDA Supply Pressure,PIT 06.02,FALSE,FALSE,FALSE,,FALSE,FALSE,0,27648,0,145.038,PSI
ENG02_WRK;IO;P22_00_RPM,P 22_00_RPM,P 22_00_RPM,Pump 22.00 Actual RPM,P 22_00_RPM,FALSE,FALSE,TRUE,,FALSE,FALSE,0,27648,0,10000,rpm
ENG02_WRK;IO;P22_01_RPM,P 22_01_RPM,P 22_01_RPM,Pump 22.01 Actual RPM,P 22_01_RPM,FALSE,FALSE,TRUE,,FALSE,FALSE,0,27648,0,10000,rpm
ENG02_WRK;IO;AIM05_02,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;AIM05_03,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
ENG02_WRK;IO;TT22_00,TT 22.00,TT 22.00,Eng 2 Supply Temperature,TT 22.00,FALSE,FALSE,FALSE,,FALSE,FALSE,-24300,32511,0,60,C
ENG02_WRK;IO;TT22_01,TT 22.01,TT 22.01,Eng 2 Metrology Temperature,TT 22.01,FALSE,FALSE,FALSE,,FALSE,FALSE,-24300,32511,0,60,C
ENG02_WRK;IO;AIM06_02,,,SPARE,,FALSE,FALSE,TRUE,,FALSE,FALSE,,,,,
